Locode,Phrase,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,AvgMsv,Competition,CostPerClick
AU,crm software review,70.0,50.0,50.0,40.0,50.0,30.0,30.0,30.0,20.0,30.0,40.0,20.0,40.0,1.0,14.744254999999999
AU,cross cultures,720.0,720.0,720.0,590.0,720.0,720.0,720.0,590.0,390.0,480.0,590.0,880.0,720.0,0.006325208269052001,1.6574369999999998
AU,cupcakes decorations,480.0,590.0,590.0,480.0,590.0,590.0,480.0,390.0,210.0,320.0,390.0,390.0,480.0,0.26190476190476003,0.39260700000000004
AU,cushing syndrome,5400.0,6600.0,5400.0,4400.0,5400.0,4400.0,5400.0,5400.0,3600.0,4400.0,4400.0,5400.0,5400.0,0.013288447909283999,0.306838
AU,cushion cover,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,5400.0,6600.0,5400.0,6600.0,6600.0,0.999847142,0.441195
AU,cushion cover,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,6600.0,5400.0,6600.0,5400.0,6600.0,6600.0,0.999847142,0.441195
AU,custom embroidery,210.0,320.0,210.0,260.0,320.0,320.0,320.0,320.0,260.0,320.0,260.0,320.0,260.0,0.5700850873264699,2.614177
AU,custom home builders,390.0,590.0,480.0,480.0,590.0,480.0,480.0,480.0,390.0,590.0,480.0,590.0,480.0,0.76056338,4.031371
AU,custom vinyl stickers,320.0,390.0,320.0,320.0,320.0,320.0,320.0,390.0,260.0,320.0,320.0,390.0,320.0,0.9966430436404301,1.724219
AU,custom wheel,260.0,320.0,320.0,320.0,320.0,260.0,260.0,260.0,260.0,260.0,210.0,320.0,260.0,0.17902930402929998,0.259511
AU,customizable dog tags,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,390.0,320.0,260.0,320.0,320.0,0.99776085982983,1.192483
AU,customize frames,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.38095238095238,
AU,cwe,1000.0,1000.0,880.0,880.0,880.0,880.0,1000.0,1000.0,880.0,880.0,720.0,880.0,880.0,0.053530752,
AU,dallas cowboys,5400.0,4400.0,2900.0,3600.0,6600.0,12100.0,22200.0,22200.0,27100.0,22200.0,5400.0,6600.0,12100.0,0.007466729,0.224786
AU,dan rafael,1000.0,1600.0,1000.0,1300.0,1000.0,1600.0,1300.0,1600.0,1300.0,880.0,1000.0,1300.0,1300.0,0.00029679461812400003,
AU,dan wheldon,260.0,320.0,320.0,260.0,210.0,210.0,320.0,140.0,210.0,170.0,170.0,320.0,260.0,,
AU,darlington,3600.0,3600.0,2900.0,3600.0,3600.0,3600.0,3600.0,3600.0,2900.0,3600.0,3600.0,3600.0,3600.0,0.00195855693525,
AU,date hookup,170.0,110.0,90.0,50.0,90.0,110.0,70.0,50.0,70.0,50.0,50.0,50.0,90.0,0.76010781671159,2.419066
AU,datsun 280zx egr valve,,,,,,,,,,,,,,,
AU,david beckham,33100.0,33100.0,33100.0,33100.0,27100.0,27100.0,27100.0,22200.0,27100.0,27100.0,33100.0,22200.0,27100.0,0.004189552,1.512083
AU,david smith,720.0,880.0,720.0,720.0,1000.0,720.0,720.0,720.0,590.0,720.0,720.0,720.0,720.0,0.021934758155231,0.16225199999999998
